id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6cb0HzFQPN4BGADOmSzPCw,0.572,0.786,8,-8.469,1,0.0642,0.519,0.00093,0.11,0.952,188.115,audio_features,spotify:track:6cb0HzFQPN4BGADOmSzPCw,https://api.spotify.com/v1/tracks/6cb0HzFQPN4BGADOmSzPCw,https://api.spotify.com/v1/audio-analysis/6cb0HzFQPN4BGADOmSzPCw,174867,4
0HBvwy7XVhrkQljkCONgsq,0.768,0.864,9,-5.286,1,0.0636,0.0622,0,0.0822,0.813,129.809,audio_features,spotify:track:0HBvwy7XVhrkQljkCONgsq,https://api.spotify.com/v1/tracks/0HBvwy7XVhrkQljkCONgsq,https://api.spotify.com/v1/audio-analysis/0HBvwy7XVhrkQljkCONgsq,327920,4
5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,audio_features,spotify:track:6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s,181533,4
1jNOi6m3Hn8nLEeHCp5Msr,0.753,0.457,0,-7.709,1,0.0767,0.00679,0.484,0.311,0.297,123.913,audio_features,spotify:track:1jNOi6m3Hn8nLEeHCp5Msr,https://api.spotify.com/v1/tracks/1jNOi6m3Hn8nLEeHCp5Msr,https://api.spotify.com/v1/audio-analysis/1jNOi6m3Hn8nLEeHCp5Msr,231800,4
5oQcOu1omDykbIPSdSQQNJ,0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,audio_features,spotify:track:5oQcOu1omDykbIPSdSQQNJ,https://api.spotify.com/v1/tracks/5oQcOu1omDykbIPSdSQQNJ,https://api.spotify.com/v1/audio-analysis/5oQcOu1omDykbIPSdSQQNJ,193000,4
4NZg8df9BxJ6spPDnr6Z9T,0.602,0.97,8,-3.164,1,0.313,0.208,0.481,0.702,0.736,165.111,audio_features,spotify:track:4NZg8df9BxJ6spPDnr6Z9T,https://api.spotify.com/v1/tracks/4NZg8df9BxJ6spPDnr6Z9T,https://api.spotify.com/v1/audio-analysis/4NZg8df9BxJ6spPDnr6Z9T,191053,4
3IrkbGQCoEPAkzJ0Tkv8nm,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56E-06,0.339,0.648,163.969,audio_features,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm,https://api.spotify.com/v1/tracks/3IrkbGQCoEPAkzJ0Tkv8nm,https://api.spotify.com/v1/audio-analysis/3IrkbGQCoEPAkzJ0Tkv8nm,245173,4
3k0Jp5IYHtBeSNKUEOqE0i,0.883,0.667,1,-12.143,1,0.0601,0.271,0.000856,0.115,0.91,111.402,audio_features,spotify:track:3k0Jp5IYHtBeSNKUEOqE0i,https://api.spotify.com/v1/tracks/3k0Jp5IYHtBeSNKUEOqE0i,https://api.spotify.com/v1/audio-analysis/3k0Jp5IYHtBeSNKUEOqE0i,215840,4
2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75E-05,0.119,0.599,104.655,audio_features,spotify:track:2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/tracks/2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/audio-analysis/2aibwv5hGXSgw7Yru8IYTO,334667,4
6kotXaSQaGYxE62hVpdHWu,0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,audio_features,spotify:track:6kotXaSQaGYxE62hVpdHWu,https://api.spotify.com/v1/tracks/6kotXaSQaGYxE62hVpdHWu,https://api.spotify.com/v1/audio-analysis/6kotXaSQaGYxE62hVpdHWu,209467,4
0cuq829zRNq4AEdmDJA4aw,0.545,0.905,7,-10.732,1,0.0648,0.00164,1.95E-06,0.0532,0.826,103.574,audio_features,spotify:track:0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/tracks/0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/audio-analysis/0cuq829zRNq4AEdmDJA4aw,256947,4
4GCd7d7GE23S9Xla1mqaqo,0.661,0.751,9,-7.007,1,0.076,0.00647,0.000302,0.237,0.696,79.108,audio_features,spotify:track:4GCd7d7GE23S9Xla1mqaqo,https://api.spotify.com/v1/tracks/4GCd7d7GE23S9Xla1mqaqo,https://api.spotify.com/v1/audio-analysis/4GCd7d7GE23S9Xla1mqaqo,293293,4
6kooDsorCpWVMGc994XjWN,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,audio_features,spotify:track:6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/tracks/6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/audio-analysis/6kooDsorCpWVMGc994XjWN,238973,4
2lXzgU19U9cSZLJtawjob6,0.903,0.648,5,-5.582,0,0.119,0.000105,0.869,0.106,0.342,128.014,audio_features,spotify:track:2lXzgU19U9cSZLJtawjob6,https://api.spotify.com/v1/tracks/2lXzgU19U9cSZLJtawjob6,https://api.spotify.com/v1/audio-analysis/2lXzgU19U9cSZLJtawjob6,297187,4
4MbV8zrWudQflnbiIzp29t,0.859,0.684,2,-6.962,1,0.28,0.448,1.15E-05,0.202,0.613,91.601,audio_features,spotify:track:4MbV8zrWudQflnbiIzp29t,https://api.spotify.com/v1/tracks/4MbV8zrWudQflnbiIzp29t,https://api.spotify.com/v1/audio-analysis/4MbV8zrWudQflnbiIzp29t,264152,4
2CIRyBgH4ybwRRrAi45hbx,0.932,0.644,9,-4.03,0,0.175,0.0634,8.58E-06,0.11,0.717,97.135,audio_features,spotify:track:2CIRyBgH4ybwRRrAi45hbx,https://api.spotify.com/v1/tracks/2CIRyBgH4ybwRRrAi45hbx,https://api.spotify.com/v1/audio-analysis/2CIRyBgH4ybwRRrAi45hbx,315787,4
69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3,-4.763,1,0.231,0.206,7.88E-05,0.279,0.71,97.018,audio_features,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,https://api.spotify.com/v1/tracks/69bHJ9qs5FrUJbKP8xU8uZ,https://api.spotify.com/v1/audio-analysis/69bHJ9qs5FrUJbKP8xU8uZ,214227,4
5dNfHmqgr128gMY2tc5CeJ,0.795,0.523,1,-7.165,1,0.0423,0.061,0,0.0914,0.855,133.024,audio_features,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,186067,4
2wvMC5EyaaYQwBfiwwY2xE,0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,audio_features,spotify:track:2wvMC5EyaaYQwBfiwwY2xE,https://api.spotify.com/v1/tracks/2wvMC5EyaaYQwBfiwwY2xE,https://api.spotify.com/v1/audio-analysis/2wvMC5EyaaYQwBfiwwY2xE,536227,4
6tbkCukDV2wEiyg42ZJJbC,0.637,0.656,11,-9.486,1,0.0431,0.636,0.00692,0.0941,0.666,80.438,audio_features,spotify:track:6tbkCukDV2wEiyg42ZJJbC,https://api.spotify.com/v1/tracks/6tbkCukDV2wEiyg42ZJJbC,https://api.spotify.com/v1/audio-analysis/6tbkCukDV2wEiyg42ZJJbC,208120,4
1s16lVXTAFSS4Nm3Ygd1Qu,0.588,0.554,8,-8.406,1,0.0545,0.216,0.118,0.0619,0.496,146.133,audio_features,spotify:track:1s16lVXTAFSS4Nm3Ygd1Qu,https://api.spotify.com/v1/tracks/1s16lVXTAFSS4Nm3Ygd1Qu,https://api.spotify.com/v1/audio-analysis/1s16lVXTAFSS4Nm3Ygd1Qu,238333,4
7uPmQttafLiJyju14JREY4,0.614,0.763,4,-8.949,0,0.133,0.171,0,0.119,0.885,84.236,audio_features,spotify:track:7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/tracks/7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/audio-analysis/7uPmQttafLiJyju14JREY4,313707,4
1PehfITh0TTRx3LkDdV4h3,0.786,0.555,10,-10.276,1,0.0471,0.454,0.0173,0.0826,0.673,95.1,audio_features,spotify:track:1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/tracks/1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/audio-analysis/1PehfITh0TTRx3LkDdV4h3,261373,4
58DXujtdftJjcMRhwHDwhr,0.512,0.897,8,-6.875,1,0.0437,0.00248,0.956,0.129,0.228,130.034,audio_features,spotify:track:58DXujtdftJjcMRhwHDwhr,https://api.spotify.com/v1/tracks/58DXujtdftJjcMRhwHDwhr,https://api.spotify.com/v1/audio-analysis/58DXujtdftJjcMRhwHDwhr,180005,4
3EWuyYElhVOPUqB8w2uLEP,0.42,0.858,1,-3.559,0,0.0655,0.0191,0,0.55,0.0479,130.036,audio_features,spotify:track:3EWuyYElhVOPUqB8w2uLEP,https://api.spotify.com/v1/tracks/3EWuyYElhVOPUqB8w2uLEP,https://api.spotify.com/v1/audio-analysis/3EWuyYElhVOPUqB8w2uLEP,205360,4
5piJiL6aRhvrKBa9YuEfS9,0.641,0.725,7,-7.376,1,0.039,0.16,0.00321,0.648,0.808,112.529,audio_features,spotify:track:5piJiL6aRhvrKBa9YuEfS9,https://api.spotify.com/v1/tracks/5piJiL6aRhvrKBa9YuEfS9,https://api.spotify.com/v1/audio-analysis/5piJiL6aRhvrKBa9YuEfS9,170133,4
6JEntXLt4z98CcDtIH9sU7,0.677,0.866,1,-6.403,1,0.0392,0.00165,0.662,0.412,0.0386,128.005,audio_features,spotify:track:6JEntXLt4z98CcDtIH9sU7,https://api.spotify.com/v1/tracks/6JEntXLt4z98CcDtIH9sU7,https://api.spotify.com/v1/audio-analysis/6JEntXLt4z98CcDtIH9sU7,303827,4
7DdXf9x75iEVCHWfoRwRuR,0.582,0.604,9,-6.962,1,0.0493,0.134,0.000957,0.102,0.341,143.952,audio_features,spotify:track:7DdXf9x75iEVCHWfoRwRuR,https://api.spotify.com/v1/tracks/7DdXf9x75iEVCHWfoRwRuR,https://api.spotify.com/v1/audio-analysis/7DdXf9x75iEVCHWfoRwRuR,219400,4
28OkLLntKaxV9Fxk79sQkD,0.722,0.868,4,-4.523,1,0.109,0.559,0.000779,0.447,0.633,95.021,audio_features,spotify:track:28OkLLntKaxV9Fxk79sQkD,https://api.spotify.com/v1/tracks/28OkLLntKaxV9Fxk79sQkD,https://api.spotify.com/v1/audio-analysis/28OkLLntKaxV9Fxk79sQkD,231733,4
