,album_name,album_uri,artist_name,artist_uri,duration_ms,pos,track_name,track_uri
0,ABC,spotify:album:4GuzZh2dtsOjG3sMkx52eR,The Jackson 5,spotify:artist:2iE18Oxc8YSumAU232n4rW,174866,0,ABC,spotify:track:6cb0HzFQPN4BGADOmSzPCw
1,Everything Goes Numb,spotify:album:3phH2ZoACvpLVcPtyIk8jp,Streetlight Manifesto,spotify:artist:1OKOTYGoCE2buxTYMegJp7,327920,1,Point/Counterpoint,spotify:track:0HBvwy7XVhrkQljkCONgsq
2,Thriller 25 Super Deluxe Edition,spotify:album:1C2h7mLntPSeVYciMRTF4a,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,293826,2,Billie Jean,spotify:track:5ChkMS8OtdzJeqyybCc9R5
3,Dookie,spotify:album:4uG8q3GPuWHQlRbswMIRS6,Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY,181533,3,Basket Case,spotify:track:6L89mwZXSOwYl76YXfX13s
4,Elephant,spotify:album:4teFaDSeFHYXZjZJaZGrAO,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,231800,4,Seven Nation Army,spotify:track:1jNOi6m3Hn8nLEeHCp5Msr
5,A Hangover You Don't Deserve,spotify:album:43jBR9MNJk5AUuB56M0pRF,Bowling For Soup,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,193000,5,1985,spotify:track:5oQcOu1omDykbIPSdSQQNJ
6,Ultra Trap,spotify:album:1pLo9QTyw1PgVaLbJNomPh,Flosstradamus,spotify:artist:2FmzVitXZjIkFolH8HXd4j,191053,6,Rollup - Baauer Remix,spotify:track:4NZg8df9BxJ6spPDnr6Z9T
7,The Black Album,spotify:album:4FWvo9oS4gRgHtAwDwUjiO,JAY Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,245173,7,Dirt Off Your Shoulder,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm
8,All The Greatest Hits,spotify:album:3aUZ0iLjcePsDggYsZAGBZ,Zapp,spotify:artist:396Kh0m4wGUvcMUULw71yi,215840,8,"So Ruff, So Tuff",spotify:track:3k0Jp5IYHtBeSNKUEOqE0i
9,Stadium Arcadium,spotify:album:7xl50xr9NDkd3i2kBbzsNZ,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,335066,9,Snow (Hey Oh) - Hey Oh Album Version,spotify:track:2aibwv5hGXSgw7Yru8IYTO
10,Excitable Boy,spotify:album:03WJAI8NnJHvCNqnlLw8kg,Warren Zevon,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,209466,10,Werewolves Of London - 2007 Remastered Version,spotify:track:6kotXaSQaGYxE62hVpdHWu
11,Pocket Full Of Kryptonite (Anniversary Edition),spotify:album:3jx5C8Z66FwdjNkqsSDBQh,Spin Doctors,spotify:artist:2PSiyldxmJze7xiqbz658m,256946,11,Two Princes,spotify:track:0cuq829zRNq4AEdmDJA4aw
12,Sublime,spotify:album:243wqukvimLglvClDVsfHJ,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J,293293,12,Jailhouse,spotify:track:4GCd7d7GE23S9Xla1mqaqo
13,Ram Jam,spotify:album:4z2REZpvRsVMpHFrsIz7PD,Ram Jam,spotify:artist:6FITmSxIMsk6TfulFiCIIz,238973,13,Black Betty,spotify:track:6kooDsorCpWVMGc994XjWN
14,For Lack of a Better Name,spotify:album:3eNZDL2rqTVvmiC1f0yFwF,deadmau5,spotify:artist:2CIMQHirSU0MQqyYHq0eOx,297186,14,Moar Ghosts 'n' Stuff,spotify:track:2lXzgU19U9cSZLJtawjob6
15,Acid Raindrops,spotify:album:6wRasCHEWubnqxdDlUf7mo,People Under The Stairs,spotify:artist:0av074qUwLn5eyzwqoq3xh,264152,15,Acid Raindrops,spotify:track:4MbV8zrWudQflnbiIzp29t
16,The Tipping Point,spotify:album:1ZLd3CcWtnSI18EfBIhTKa,The Roots,spotify:artist:78xUyw6FkVZrRAtziFdtdu,315786,16,Guns Are Drawn,spotify:track:2CIRyBgH4ybwRRrAi45hbx
17,The Massacre,spotify:album:2pidzXTaHV4WaIJYRxKDCH,50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,214226,17,Disco Inferno,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ
18,Chocolate Factory,spotify:album:35Ea7OWXZPZB1vAPiaEGOM,R. Kelly,spotify:artist:2mxe0TnaNL039ysAj51xPQ,186066,18,Ignition - Remix,spotify:track:5dNfHmqgr128gMY2tc5CeJ
19,"But Seriously, Folks...",spotify:album:5yqBTSoJqE9EfApl2Pptva,Joe Walsh,spotify:artist:5bDxAyJiTYBat1YnFJhvEK,536226,19,Life's Been Good,spotify:track:2wvMC5EyaaYQwBfiwwY2xE
20,Furr,spotify:album:2X5LfrkRtEik2jGgaDDRMO,Blitzen Trapper,spotify:artist:72XY3HrDdFfZXNZFCT9Zh1,208120,20,Black River Killer,spotify:track:6tbkCukDV2wEiyg42ZJJbC
21,808s & Heartbreak,spotify:album:6iFQqMVZ6eLQESfdkIzVXO,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,238333,21,Amazing,spotify:track:1s16lVXTAFSS4Nm3Ygd1Qu
22,Young Americans,spotify:album:0lITGovWgaQGi42EfqcE5P,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,313706,22,Young Americans - 2016 Remastered Version,spotify:track:7uPmQttafLiJyju14JREY4
23,Young Americans,spotify:album:0lITGovWgaQGi42EfqcE5P,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,261373,23,Fame - 2016 Remastered Version,spotify:track:1PehfITh0TTRx3LkDdV4h3
24,I Am Hardwell,spotify:album:47U1W4r37SuXMVMQR2sErh,Hardwell,spotify:artist:6BrvowZBreEkXzJQMpL174,180004,24,How We Do - Radio Edit,spotify:track:58DXujtdftJjcMRhwHDwhr
25,Never Say Goodbye,spotify:album:0YjpA8s3oEM6jGTAOr7Pw0,Hardwell,spotify:artist:6BrvowZBreEkXzJQMpL174,205360,25,Never Say Goodbye - Radio Edit,spotify:track:3EWuyYElhVOPUqB8w2uLEP
26,Morrison Hotel,spotify:album:6AFLOkpJjFF652jevcSOZX,The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt,178773,26,Peace Frog,spotify:track:5piJiL6aRhvrKBa9YuEfS9
27,Animals,spotify:album:55HXtmTsfepv0mY9vIIFhi,Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,303826,27,Animals - Extended,spotify:track:6JEntXLt4z98CcDtIH9sU7
28,An Awesome Wave,spotify:album:6k3vC8nep1BfqAIJ81L6OL,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,219400,28,Fitzpleasure,spotify:track:7DdXf9x75iEVCHWfoRwRuR
29,Everything You Need,spotify:album:6SivmmHM5n3CCsU99XDFYi,Slightly Stoopid,spotify:artist:6MxlVTY6PmY8Nyn16fvxtb,231733,29,Officer,spotify:track:28OkLLntKaxV9Fxk79sQkD
30,It Was Written,spotify:album:78Fgb88MY0ECc4GVMejqTg,Nas,spotify:artist:20qISvAhX20dpIbOOzGK3q,234093,30,The Message,spotify:track:1AHfovSnGPVYKaahRtA0U6
31,TRUE,spotify:album:02h9kO2oLKnLtycgbElKsw,Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,255093,31,Hey Brother,spotify:track:3zKST4nk4QJE77oLjUZ0Ng
32,Life After Death (Remastered Edition),spotify:album:7dRdaGSxgcBdJnrOviQRuB,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb,229826,32,Hypnotize - 2014 Remastered Version,spotify:track:7KwZNVEaqikRSBSpyhXK2j
33,Ready To Die The Remaster,spotify:album:2HTbQ0RHwukKVXAlTmCZP2,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb,252746,33,Big Poppa,spotify:track:2g8HN35AnVGIk7B8yMucww
34,Ready To Die The Remaster,spotify:album:2HTbQ0RHwukKVXAlTmCZP2,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb,302693,34,Juicy,spotify:track:5ByAIlEEnxYdvpnezg7HTX
